State,State ID,County,County ID,Population,Poverty Rate
CA,06,San Benito,069,58051.0,10.721606862930871
CA,06,San Bernardino,071,2106754.0,18.616079523285585
CA,06,San Diego,073,3253356.0,13.648183598720829
CA,06,San Francisco,075,850282.0,12.252405672471015
CA,06,San Joaquin,077,714860.0,17.428167753126488
CA,06,San Luis Obispo,079,278680.0,13.35151428161332
CA,06,San Mateo,081,754748.0,7.617111936699402
CA,06,Santa Barbara,083,439395.0,15.220928777068469
CA,06,Santa Clara,085,1885056.0,9.135696764446255
CA,06,Santa Cruz,087,270931.0,14.472688618135244
CA,06,Shasta,089,179228.0,17.26571741022608
CA,06,Sierra,091,2931.0,11.224837939269873
CA,06,Siskiyou,093,43668.0,21.81002106805899
CA,06,Solano,095,429596.0,12.398858462369295
CA,06,Sonoma,097,497776.0,11.068231493683905
CA,06,Stanislaus,099,530561.0,18.04486194801352
CA,06,Sutter,101,95406.0,17.33119510303335
CA,06,Tehama,103,63015.0,21.206062048718557
CA,06,Trinity,105,13180.0,19.77996965098634
CA,06,Tulare,107,455769.0,27.893516233004
CA,06,Tuolumne,109,53864.0,13.322441705034903
CA,06,Ventura,111,843110.0,10.49519042592307
CA,06,Yolo,113,209671.0,18.551921820375732
CA,06,Yuba,115,73897.0,20.406782413359135
CO,08,Adams,001,479977.0,12.764153282344779
CO,08,Alamosa,003,16353.0,29.26680119855684
CO,08,Arapahoe,005,617668.0,10.585460150113006
CO,08,Archuleta,007,12355.0,11.080534196681505
CO,08,Baca,009,3648.0,17.37938596491228
CO,08,Bent,011,5816.0,16.213892709766164
CO,08,Boulder,013,313961.0,12.97358589124127
CO,08,Broomfield,014,62449.0,5.871991545100802
CO,08,Chaffee,015,18507.0,9.039822769762793
CO,08,Cheyenne,017,2071.0,11.057460164171898
CO,08,Clear Creek,019,9238.0,7.328426066248106
CO,08,Conejos,021,8213.0,21.977352976987703
CO,08,Costilla,023,3590.0,30.41782729805014
CO,08,Crowley,025,5537.0,26.71121545963518
CO,08,Custer,027,4375.0,17.645714285714284
CO,08,Delta,029,30221.0,16.180801429469575
CO,08,Denver,031,663303.0,16.09294696390639
CO,08,Dolores,033,1789.0,19.340413638904415
CO,08,Douglas,035,314238.0,3.7573431602797878
CO,08,Eagle,037,52894.0,8.010360343328166
CO,08,Elbert,039,24225.0,5.040247678018575
CO,08,El Paso,041,665171.0,10.97642561085796
CO,08,Fremont,043,46835.0,12.836553859293264
CO,08,Garfield,045,57495.0,10.912253239412124
CO,08,Gilpin,047,5708.0,6.867554309740715
CO,08,Grand,049,14490.0,10.510697032436163
CO,08,Gunnison,051,15889.0,14.595002832148026
CO,08,Hinsdale,053,856.0,11.214953271028037
CO,08,Huerfano,055,6521.0,16.6538874405766
CO,08,Jackson,057,1306.0,13.705972434915774
CO,08,Jefferson,059,558810.0,7.986435461069058
CO,08,Kiowa,061,1465.0,10.511945392491468
CO,08,Kit Carson,063,8174.0,12.637631514558356
CO,08,Lake,065,7401.0,11.295770841778138
